"","Tree_ID","best_iteration","quality_0","quality_1","quality_2","quality_3","quality_4","quality_5","quality_6","quality_7","quality_8","quality_9","times_outlier_0","times_outlier_1","times_outlier_2","times_outlier_3","times_outlier_4","times_outlier_5","times_outlier_6","times_outlier_7","times_outlier_8","times_outlier_9"
"110","1438a",0,1.85951642345059,1.6201090010073,NA,NA,NA,1.25149470111961,NA,NA,1.00813529015138,NA,0,0,3,2,1,0,11,3,0,1
"111","1438b",4,NA,NA,NA,1,2,NA,NA,NA,NA,NA,3,1,1,0,0,6,1,2,2,5
"112","1448",5,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,14,4,1,1,12,0,2,4,8,1
"113","145a",8,NA,NA,NA,NA,NA,NA,1,NA,2,NA,4,1,2,6,1,2,0,1,0,4
"114","145c",8,NA,NA,2.06248546390525,NA,NA,NA,1,NA,2.24742213281103,1.33799681181481,2,2,0,8,2,1,0,2,0,0
"115","145e",7,1.62794767713984,NA,NA,0.352934375364095,NA,NA,NA,2.38578052180263,NA,NA,0,2,4,0,8,4,4,0,1,1
"116","1466",2,NA,NA,2.34899115107733,NA,NA,0.556558763446299,NA,NA,2,NA,17,5,0,9,1,0,1,1,0,1
"117","1471",0,3,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,3,23,1,1,1,4
"118","1475",1,1.83524413508514,2.72402366523103,0.279589824125872,1.44350198619209,2.1369599072585,NA,NA,NA,NA,NA,0,0,0,0,0,1,7,1,11,10
"119","1476",5,NA,NA,1.27133792107754,1.39276291635977,NA,2.04620613723459,NA,NA,0.626377286535019,NA,5,1,0,0,1,0,5,14,0,2
"120","1480a",1,1.27620949187922,2.38570899388674,1.61619612611105,1,0.824111642713266,1.90855364165554,2.24944142632835,NA,NA,NA,0,0,0,0,0,0,0,7,4,5
"121","1480b",4,NA,0.649519471809388,NA,NA,3,NA,0.725559449320847,NA,NA,NA,3,0,6,1,0,6,0,1,2,1
"122","1480c",8,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,2,1,7,1,1,2,1,1,0,1
"123","1480d",1,NA,2,NA,NA,0.97729375386684,1.20307231702774,0.819246966474106,NA,NA,NA,2,0,1,1,0,0,0,2,1,5
"124","1482",1,NA,2,NA,NA,1,NA,NA,NA,NA,NA,3,0,6,1,0,1,3,4,1,1
"125","1484",9,NA,NA,1.54008201847043,2.0414571995447,0.183734165381593,1.42089859984926,NA,NA,1.77677906529753,2.0670088028171,1,7,0,0,0,0,3,3,0,0
"126","149",3,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,2,17,2,0,2,1,1,3,14,1
"127","1495",2,NA,NA,2.46466315864242,NA,NA,0.539023979100354,NA,NA,NA,1,1,1,0,4,3,0,1,1,1,0
"128","1496",3,0.956640711325584,NA,0.315809480786812,3,NA,NA,NA,NA,1.29683687201404,NA,0,2,0,0,5,1,1,1,0,1
